Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-520.6366,-520.6366
Purchases of investments,-234.9129,-234.9129
Net cash used for investing activites,-755.5495,-755.5495
Common stock issued,10309,10309
Other financing activites,-309.7417,-309.7417
Net cash used privided by (used for) financing activities,14918,14918
Net change in cash,4702,4702
Cash at beginning of period,2267,2267
Cash at end of period,7207,7207
Capital Expenditure,-520.6366,-520.6366
Free Cash Flow,-9981,-9981
