Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-88401,-121739,-79730,-67403,-97478
Sales/Maturities of investments,120419,163318,98174,98625,49752
Net cash used for investing activites,32018,41579,18444,31221,-47726
Common stock repurchased,-14010,-10984,-6827,-16839,-10659
Dividends Paid,-14931,-21959,-10197,-10093,-10198
Other financing activites,-,-,-,-575.106,-
Net cash used privided by (used for) financing activities,-28941,-32943,-17024,-27507,-20857
Net change in cash,7687,4955,1196,5090,-64621
Cash at beginning of period,4597,11521,10176,5090,70589
Cash at end of period,12284,16500,11521,10176,5090
Free Cash Flow,4610,-3681,-224,1375,3962
