Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16914000,19052000,13855000,-11444000
Depreciation & amortization,8621000,8818000,9663000,9455000
Change in working capital,-7242000,-4677000,-4990000,6265000
Inventory,1215000,-1847000,-180000,-2181000
Other working capital,9621000,22312000,17376000,-3714000
Other non-cash items,-430000,1631000,-624000,-504000
Net cash provided by operating activites,19663000,29108000,24921000,7144000
Investments in property plant and equipment,-10042000,-6796000,-7545000,-10858000
Purchases of investments,-1391000,-1453000,-407000,-1650000
Sales/Maturities of investments,1284000,778000,3861000,1159000
Other investing activites,-884000,-836000,-476000,-90000
Net cash used for investing activites,-10185000,-8037000,-4287000,-11048000
Net change in cash,201000,11226000,8367000,3076000
Cash at beginning of period,45073000,38583000,30215000,27139000
Cash at end of period,45202000,49809000,38583000,30215000
Operating Cash Flow,19663000,29108000,24921000,7144000
Capital Expenditure,-10042000,-6796000,-7545000,-10858000
Free Cash Flow,9621000,22312000,17376000,-3714000
