Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7951000,11569000,11105000,9412000
Depreciation & amortization,10199000,9101000,9142000,8435000
Stock based compensation,-,-,-,20000
Change in working capital,-530000,-4972000,1516000,-4222000
Inventory,-1396000,-5684000,3564000,-9158000
Other working capital,3766000,3694000,9505000,3149000
Other non-cash items,-2851000,-2647000,-1326000,346000
Net cash provided by operating activites,18070000,16815000,22522000,15681000
Investments in property plant and equipment,-14304000,-13121000,-13017000,-12532000
Purchases of investments,-83000,-79000,-66000,-59000
Sales/Maturities of investments,188000,7000,0,-
Other investing activites,-2997000,-3323000,-539000,8776000
Net cash used for investing activites,-16880000,-16085000,-13263000,-3536000
Net change in cash,-1820000,-508000,4424000,-5309000
Cash at beginning of period,41653000,42637000,38212000,41015000
Cash at end of period,39437000,42128000,42637000,35901000
Operating Cash Flow,18070000,16815000,22522000,15681000
Capital Expenditure,-14304000,-13121000,-13017000,-12532000
Free Cash Flow,3766000,3694000,9505000,3149000
