Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6202,-12217,-7792,-4308,-4553
Net cash used for investing activites,-5914,-11973,-7546,-4016,-4210
Debt repayment,-8686,-2912,-3279,-9980,-27095
Common stock repurchased,-4003,-2544,-3724,-120,-
Dividends Paid,-5672,-5722,-5856,-5950,-5206
Other financing activites,-,-7,-382,93,-112
Net cash used privided by (used for) financing activities,-14328,2761,-3915,-15024,-7027
Net change in cash,-1324,6128,-2537,613,6577
Cash at beginning of period,18234,22991,24974,24563,17769
Cash at end of period,16910,29846,22991,24974,24563
Capital Expenditure,-6202,-12217,-7792,-4308,-4553
Free Cash Flow,12716,3123,1132,15345,13261
