Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,2042224,2042224,1822647,1447810,1297772
Interest Expense,130001,130001,125023,107025,96478
Income Before Tax,741835,741835,592637,364570,297516
Income Tax Expense,181955,181955,153178,125707,105585
Income from Continuing Operations,559880,559880,439459,238863,191931
Net Income,559880,559880,439459,238863,191931
Net Income available to common shareholders,559880,559880,439459,238863,191931
Basic EPS,-,-,4.99,2.65,2.15
Diluted EPS,-,-,4.85,2.59,2.13
Basic Average Shares,-,-,88119,90002,89072
Diluted Average Shares,-,-,90619,92115,90013
