Attribute,Value
Previous Close,192.30
Open,186.51
Bid,176.00 x 800
Ask,182.00 x 900
Day's Range,177.47 - 186.79
52 Week Range,88.43 - 210.21
Volume,248732
Avg. Volume,204861
Net Assets,204.17M
NAV,179.91
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,27.08%
Beta (5Y Monthly),-0.01
Expense Ratio (net),1.35%
Inception Date,2011-10-14
