Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1854,-5278,-3095,-,-
Acquisitions net,-,-,48.849,-,-
Sales/Maturities of investments,-,-,-,-,4.041
Other investing activites,-,-,-28.558,-,-
Net cash used for investing activites,-3548,-5278,-3075,-,4.041
Debt repayment,-2891,-2123,-40.452,-330,-300
Common stock issued,-,-,4539,498.237,632.259
Common stock repurchased,-,-302.072,-,-65.239,-66.219
Other financing activites,15.684,20.657,-558.102,-,-
Net cash used privided by (used for) financing activities,2110,6650,4148,432.998,266.04
Net change in cash,-1657,-1.628,379.296,127.696,-46.712
Cash at beginning of period,1908,506.118,126.822,-0.874,45.838
Cash at end of period,250.944,504.49,506.118,126.822,-0.874
Capital Expenditure,-1854,-5278,-3095,-,-
Free Cash Flow,-2073,-6651,-3789,-305.302,-316.793
