Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4907000,4907000,3692000,4282000,3999000
Depreciation & amortization,8405000,8405000,8190000,8235000,8183000
Change in working capital,-209000,-209000,881000,-1376000,-151000
Inventory,-56000,-56000,489000,-297000,117000
Other working capital,4846000,4846000,4185000,3217000,2988000
Other non-cash items,777000,777000,182000,52000,115000
Net cash provided by operating activites,14872000,14872000,12622000,11429000,12242000
Investments in property plant and equipment,-10026000,-10026000,-8437000,-8212000,-9254000
Purchases of investments,-367000,-367000,-1592000,-,-50000
Sales/Maturities of investments,1042000,1042000,-,-,-
Other investing activites,-27000,-27000,-57000,-96000,-
Net cash used for investing activites,-12375000,-12375000,-9683000,-8269000,-9201000
Net change in cash,2208000,2208000,993000,1565000,897000
Cash at beginning of period,13044000,13044000,12050000,10484000,9586000
Cash at end of period,15252000,15252000,13044000,12050000,10484000
Operating Cash Flow,14872000,14872000,12622000,11429000,12242000
Capital Expenditure,-10026000,-10026000,-8437000,-8212000,-9254000
Free Cash Flow,4846000,4846000,4185000,3217000,2988000
