Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,18930000,19767000,17453000,14605000
Depreciation & amortization,4837000,4493000,4830000,4931000
Change in working capital,12434000,-1580000,-375000,3501000
Inventory,-1074000,596000,-3546000,-1134000
Other working capital,20332000,13268000,7620000,17949000
Other non-cash items,1123000,412000,1504000,1453000
Net cash provided by operating activites,36367000,23565000,24107000,24721000
Investments in property plant and equipment,-16035000,-10297000,-16487000,-6772000
Purchases of investments,-209000,-112000,-329000,-146000
Sales/Maturities of investments,929000,310000,178000,160000
Other investing activites,-65000,8000,-271000,-66000
Net cash used for investing activites,-13938000,-9531000,-15830000,-6413000
Net change in cash,-226000,-3289000,3134000,431000
Cash at beginning of period,18639000,21648000,18513000,18082000
Cash at end of period,18416000,18359000,21648000,18513000
Operating Cash Flow,36367000,23565000,24107000,24721000
Capital Expenditure,-16035000,-10297000,-16487000,-6772000
Free Cash Flow,20332000,13268000,7620000,17949000
