Breakdown,ttm,6/30/2019
Common stock issued,-,1784
Common stock repurchased,-5.389,-323.47
Net cash used privided by (used for) financing activities,-5.389,1461
Net change in cash,-2828,495.982
Cash at beginning of period,4612,3618
Cash at end of period,1783,4114
Free Cash Flow,-2778,-964.548
