Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,59049,106059,71604,56001
Selling General and Administrative,6236,6121,4118,4186
Total Operating Expenses,12773,10969,10917,11238
Interest Expense,4350,6147,4034,3540
Income Before Tax,46276,95090,60687,44763
Income Tax Expense,-,13500,-,-
Income from Continuing Operations,32776,81590,60687,44763
Net Income,32776,81590,60687,44763
Net Income available to common shareholders,32776,81590,60687,44763
