Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,50609,50609,41475,35082,28421
Interest Expense,18671,18671,12110,8195,5387
Income Before Tax,20012,20012,13107,14535,10504
Income Tax Expense,4184,4184,2238,6846,3571
Income from Continuing Operations,15828,15828,10869,7690,6933
Net Income,15828,15828,10869,7690,6933
Net Income available to common shareholders,15828,15828,10869,7690,6933
Basic EPS,-,-,0.93,0.74,0.68
Diluted EPS,-,-,0.85,0.67,0.63
Basic Average Shares,-,-,11715,10435,10170
Diluted Average Shares,-,-,12822,11545,10922
