Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-720000,989000,-615000,693000
Depreciation & amortization,-,1615000,1722000,1513000
Change in working capital,-,169000,-453000,-1207000
Inventory,-,-753000,-296000,156000
Other working capital,-,246000,37000,294000
Other non-cash items,-,-119000,366000,286000
Net cash provided by operating activites,-,2232000,1419000,1910000
Investments in property plant and equipment,-,-1986000,-1382000,-1616000
Acquisitions net,-,-180000,-,-917000
Purchases of investments,-,-28000,-7000,-8000
Sales/Maturities of investments,-,65000,-,20000
Other investing activites,-,59000,11000,44000
Net cash used for investing activites,-,-708000,-1377000,-2473000
Net change in cash,-,513000,-1012000,13000
Cash at beginning of period,-,1538000,2550000,2536000
Cash at end of period,-,2051000,1538000,2550000
Operating Cash Flow,-,2232000,1419000,1910000
Capital Expenditure,-,-1986000,-1382000,-1616000
Free Cash Flow,-,246000,37000,294000
