Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5019351,3159351,519303,1506675
Depreciation & amortization,-,1353725,1720374,1750597
Change in working capital,-,-779218,-253919,-7847
Inventory,-,2339,242808,-532852
Other working capital,-,2206102,1849016,1958010
Other non-cash items,-,269400,-59623,28461
Net cash provided by operating activites,-,3807698,3999131,3179799
Investments in property plant and equipment,-,-1601596,-2150115,-1221789
Acquisitions net,-,-,-22400,-16000
Purchases of investments,-,-,-24,-500054
Sales/Maturities of investments,-,-,10015,601651
Other investing activites,-,-48924,67220,-68254
Net cash used for investing activites,-,-1352829,-1576309,-1197443
Net change in cash,-,-373349,3346631,1096075
Cash at beginning of period,-,15729707,12383075,11286999
Cash at end of period,-,15356357,15729707,12383075
Operating Cash Flow,-,3807698,3999131,3179799
Capital Expenditure,-,-1601596,-2150115,-1221789
Free Cash Flow,-,2206102,1849016,1958010
