Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-17.391,-7.99,-6.665
Purchases of investments,-,-,-,-,-150
Other investing activites,-,-,-39.381,-35.118,300
Net cash used for investing activites,-,-,-56.772,-43.108,143.335
Debt repayment,-,-175.442,-,-45,-121.694
Common stock issued,4811,2161,-,4787,1249
Common stock repurchased,-306.936,-125.818,-23.505,-137.738,-11.012
Net cash used privided by (used for) financing activities,5253,2860,-23.505,5104,1116
Net change in cash,2815,444.923,-2836,3521,-363.82
Cash at beginning of period,350.723,801.667,3638,116.911,480.731
Cash at end of period,3165,1247,801.667,3638,116.911
Capital Expenditure,-,-,-17.391,-7.99,-6.665
Free Cash Flow,-2438,-2415,-2773,-1548,-1630
