Breakdown,ttm,3/31/2019
Total Revenue,5326776,5326776
Cost of Revenue,4589007,4589007
Gross Profit,737768,737768
Total Operating Expenses,870476,870476
Operating Income or Loss,-132708,-132708
Interest Expense,27965,27965
Income Before Tax,1954209,1954209
Income Tax Expense,681619,681619
Income from Continuing Operations,1272590,1272590
Net Income,1272590,1272590
Net Income available to common shareholders,1272590,1272590
