Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,8415000,7401000,6555000,8110000
Depreciation & amortization,-,12758000,12162000,11483000
Change in working capital,-,-3881000,-2944000,-4989000
Inventory,-,-1163000,-890000,-620000
Other working capital,-,-7695000,392000,3630000
Other non-cash items,-,1279000,873000,2757000
Net cash provided by operating activites,-,18235000,16952000,17565000
Investments in property plant and equipment,-,-25930000,-16560000,-13935000
Sales/Maturities of investments,-,274000,0,396000
Other investing activites,-,-873000,-313000,-541000
Net cash used for investing activites,-,-27799000,-18045000,-14343000
Net change in cash,-,-188000,-3644000,-664000
Cash at beginning of period,-,7692000,11336000,11051000
Cash at end of period,-,7503000,7692000,11336000
Operating Cash Flow,-,18235000,16952000,17565000
Capital Expenditure,-,-25930000,-16560000,-13935000
Free Cash Flow,-,-7695000,392000,3630000
