Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1293561,1382240,1288022,1405611
Depreciation & amortization,-,442191,462565,453048
Change in working capital,-,-311197,-223243,-263027
Inventory,-,2780,20880,-12819
Other working capital,-,251768,1199035,295540
Other non-cash items,-,-488,5803,48090
Net cash provided by operating activites,-,1539013,1660823,1578191
Investments in property plant and equipment,-,-1287245,-461788,-1282651
Purchases of investments,-,-124980,-,-70000
Sales/Maturities of investments,-,124980,700000,276425
Other investing activites,-,-23288,-433483,-857879
Net cash used for investing activites,-,-1308470,-193514,-1928085
Net change in cash,-,-136563,1152285,-638876
Cash at beginning of period,-,10905507,9753221,10392097
Cash at end of period,-,10768943,10905507,9753221
Operating Cash Flow,-,1539013,1660823,1578191
Capital Expenditure,-,-1287245,-461788,-1282651
Free Cash Flow,-,251768,1199035,295540
