Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,825000,399000,599000,-921000
Depreciation & amortization,-,354000,363000,311000
Change in working capital,-,1230000,726000,834000
Inventory,-,1282000,910000,783000
Other working capital,-,1946000,1542000,1339000
Other non-cash items,-,6000,98000,95000
Net cash provided by operating activites,-,2190000,1883000,1679000
Investments in property plant and equipment,-,-244000,-341000,-340000
Acquisitions net,-,-20000,-,-
Purchases of investments,-,-1000,-1000,-1000
Sales/Maturities of investments,-,522000,24000,-
Other investing activites,-,97000,121000,137000
Net cash used for investing activites,-,357000,-157000,-194000
Net change in cash,-,991000,1197000,-765000
Cash at beginning of period,-,38898000,37700000,38465000
Cash at end of period,-,39889000,38898000,37700000
Operating Cash Flow,-,2190000,1883000,1679000
Capital Expenditure,-,-244000,-341000,-340000
Free Cash Flow,-,1946000,1542000,1339000
