Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1542000,1498000,2399000,2557000
Depreciation & amortization,-,2341000,1977000,1708000
Change in working capital,-,311000,32000,-1600000
Inventory,-,969000,-360000,-935000
Other working capital,-,747000,1840000,-1020000
Other non-cash items,-,90000,239000,-329000
Net cash provided by operating activites,-,4040000,4633000,2381000
Investments in property plant and equipment,-,-3293000,-2793000,-3401000
Purchases of investments,-,-600000,-1127000,-1651000
Sales/Maturities of investments,-,1176000,1100000,3173000
Other investing activites,-,-54000,-169000,1867000
Net cash used for investing activites,-,-2750000,-2929000,-8000
Net change in cash,-,563000,724000,1494000
Cash at beginning of period,-,7774000,7050000,5555000
Cash at end of period,-,8338000,7774000,7050000
Operating Cash Flow,-,4040000,4633000,2381000
Capital Expenditure,-,-3293000,-2793000,-3401000
Free Cash Flow,-,747000,1840000,-1020000
