Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1789853,1497532,1217493,1006968
Liabilities,,,,
Total Liabilities,346259,259339,264357,220566
Stockholders' Equity,,,,
Common Stock,605464,602399,543954,526494
Retained Earnings,838130,635794,409182,259908
Total stockholders' equity,1443594,1238193,953136,786402
Total liabilities and stockholders' equity,1789853,1497532,1217493,1006968
