Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Investments in property plant and equipment,-57144,-57144,-108163,-68025,-27330
Acquisitions net,-8921,-8921,-683,-27267,-2145
Purchases of investments,-7145,-7145,-3025,-,-1000
Net cash used for investing activites,-68440,-68440,-101606,-94508,-30459
Debt repayment,-65300,-65300,-,194772,-9
Common stock issued,5277,5277,8609,-,-
Common stock repurchased,-50,-50,-4144,-12019,-11693
Dividends Paid,-30713,-30713,-40981,-55202,-55749
Other financing activites,-9780,-9780,-,-18667,-
Net cash used privided by (used for) financing activities,-100566,-100566,83472,113327,-67451
Net change in cash,31619,31619,-9664,90000,47859
Cash at beginning of period,72610,72610,82249,-7726,-55607
Cash at end of period,104232,104232,72610,82249,-7726
Capital Expenditure,-57144,-57144,-108163,-68025,-27330
Free Cash Flow,143481,143481,-99693,3156,118439
