Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,385088,397013,607695
Liabilities,,,
Total Liabilities,57108,56770,209727
Stockholders' Equity,,,
Common Stock,20300,20300,20300
Total stockholders' equity,327733,339401,363057
Total liabilities and stockholders' equity,385088,397013,607695
