Breakdown,ttm,6/30/2019
Purchases of investments,-22670,-6810
Sales/Maturities of investments,6607,7597
Net cash used for investing activites,-16063,787.281
Common stock issued,16683,10.45
Common stock repurchased,-615.202,-689.909
Net cash used privided by (used for) financing activities,16067,-679.459
Net change in cash,345.707,1164
Cash at beginning of period,1302,346.335
Cash at end of period,346.335,1513
Free Cash Flow,341.119,1056
