Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,557905000,587095000,526847000
Cost of Revenue,101379000,103623000,94174000
Gross Profit,456525000,483472000,432672000
Total Operating Expenses,172963000,165604000,139781000
Operating Income or Loss,283562000,317868000,292891000
Income Before Tax,287394000,319860000,298860000
Income Tax Expense,83182000,93713000,88264000
Income from Continuing Operations,204212000,226147000,210596000
Net Income,204212000,226147000,210595000
Net Income available to common shareholders,204212000,226147000,210595000
Basic EPS,-,932.46,868.33
Diluted EPS,-,932.46,868.33
Basic Average Shares,-,242529,242530
Diluted Average Shares,-,242529,242530
