Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-32794,-32794,-21448,-31387,-25023
Acquisitions net,-8148,-8148,-8509,-,-
Net cash used for investing activites,141808,141808,-29957,-9161,-24970
Debt repayment,-195000,-195000,-71000,-105000,-55000
Common stock repurchased,-,-,-,-4488,-32918
Dividends Paid,-,-,-32588,-54480,-56394
Other financing activites,-11328,-11328,-1398,-,-1153
Net cash used privided by (used for) financing activities,-166328,-166328,-14986,-75468,-60465
Net change in cash,-34422,-34422,36312,883,-5215
Cash at beginning of period,67355,67355,30205,30348,35153
Cash at end of period,33169,33169,67355,30205,30348
Capital Expenditure,-32794,-32794,-21448,-31387,-25023
Free Cash Flow,-42696,-42696,59807,54125,55197
