Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,308877,245508,445300,772532
Depreciation & amortization,-,308741,296468,245503
Change in working capital,-,-191965,-754123,594112
Inventory,-,-417514,-197712,255592
Other working capital,-,-71597,-312116,924460
Other non-cash items,-,-40862,21079,32339
Net cash provided by operating activites,-,418111,75295,1515818
Investments in property plant and equipment,-,-489708,-387411,-591358
Sales/Maturities of investments,-,-,28882,21250
Other investing activites,-,-47964,-366,-4682
Net cash used for investing activites,-,-489818,-358316,-574125
Net change in cash,-,-101003,-8433,811327
Cash at beginning of period,-,1756026,1764459,953132
Cash at end of period,-,1655023,1756026,1764459
Operating Cash Flow,-,418111,75295,1515818
Capital Expenditure,-,-489708,-387411,-591358
Free Cash Flow,-,-71597,-312116,924460
