Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,474025,491747,496839,442827
Liabilities,,,,
Total Liabilities,60346,63618,60072,91306
Stockholders' Equity,,,,
Common Stock,91352,91352,91352,72778
Total stockholders' equity,413679,428129,436767,351521
Total liabilities and stockholders' equity,474025,491747,496839,442827
