Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,234654,234654,218235,202416,160827
Interest Expense,44861,44861,32426,19839,12382
Income Before Tax,80053,80053,60686,61811,23386
Income Tax Expense,14334,14334,10143,17717,3881
Income from Continuing Operations,65719,65719,50543,44094,19505
Net Income,65719,65719,50543,44094,19505
Net Income available to common shareholders,65483,65483,50210,43685,19338
Basic EPS,-,-,1.72,1.64,0.85
Diluted EPS,-,-,1.72,1.64,0.84
Basic Average Shares,-,-,29370,26862,23098
Diluted Average Shares,-,-,29370,29335,23220
