Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,824551,873598,844580,681255
Liabilities,,,,
Total Liabilities,2369,48556,44638,22934
Stockholders' Equity,,,,
Common Stock,16747,16757,16757,16780
Retained Earnings,-,-,9741,-
Total stockholders' equity,822182,825042,799942,658321
Total liabilities and stockholders' equity,824551,873598,844580,681255
