Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-904.456,-1207,-1691,-1860,-622.697
Sales/Maturities of investments,-,-,-,75.812,780.973
Other investing activites,-460,-130,30,-205.553,46.143
Net cash used for investing activites,-1364,-1337,-1649,-1061,204.419
Common stock issued,-,582.1,3230,2045,1046
Common stock repurchased,-283.87,-45.029,-240.88,-29.868,-37.432
Net cash used privided by (used for) financing activities,4379,537.071,2989,2015,1009
Net change in cash,2234,-1594,604.664,-106.091,825.293
Cash at beginning of period,583.3,1800,1216,1321,530.006
Cash at end of period,2817,208.249,1800,1216,1321
Capital Expenditure,-904.456,-1207,-1691,-1860,-622.697
Free Cash Flow,-1685,-2001,-2427,-2920,-1010
