Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1660016,1722848,1862539,3037745
Depreciation & amortization,-,1384505,1335357,1352830
Change in working capital,-,-1191480,-274959,-1184071
Inventory,-,-751165,-14593,-1045948
Other working capital,-,588832,1694567,479016
Other non-cash items,-,-16026,32656,-216300
Net cash provided by operating activites,-,2283059,2783978,3241222
Investments in property plant and equipment,-,-1694227,-1089411,-2762206
Acquisitions net,-,-129637,-,-
Other investing activites,-,-28208,-101476,68624
Net cash used for investing activites,-,-1635589,-1170732,-2674863
Net change in cash,-,-689078,775507,2370283
Cash at beginning of period,-,11590900,10815392,8445109
Cash at end of period,-,10901821,11590900,10815392
Operating Cash Flow,-,2283059,2783978,3241222
Capital Expenditure,-,-1694227,-1089411,-2762206
Free Cash Flow,-,588832,1694567,479016
