Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-852.4528,-852.4528,-2034
Other investing activites,0.4813,0.4813,-
Net cash used for investing activites,-851.9715,-851.9715,-2034
Common stock issued,-,-,10401
Other financing activites,-74.4803,-74.4803,-
Net cash used privided by (used for) financing activities,2408,2408,12817
Net change in cash,-6349,-6349,6162
Cash at beginning of period,6817,6817,739.0579
Cash at end of period,467.8494,467.8494,6901
Capital Expenditure,-852.4528,-852.4528,-2034
Free Cash Flow,-8758,-8758,-6655
