Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,75000,3034000,3033000,8166000
Depreciation & amortization,-,1532000,1580000,1353000
Change in working capital,-,-4563000,10512000,358000
Inventory,-,-8667000,3108000,2176000
Other working capital,-,-4787000,10817000,-775000
Other non-cash items,-,239000,501000,-6264000
Net cash provided by operating activites,-,882000,13488000,3338000
Investments in property plant and equipment,-,-5669000,-2671000,-4113000
Acquisitions net,-,-14000,-,-
Purchases of investments,-,-410000,-,-
Sales/Maturities of investments,-,941000,86000,2666000
Other investing activites,-,-75000,-377000,-23000
Net cash used for investing activites,-,-5206000,-2943000,-9893000
Net change in cash,-,-3799000,1310000,3062000
Cash at beginning of period,-,18055000,16744000,13682000
Cash at end of period,-,14255000,18055000,16744000
Operating Cash Flow,-,882000,13488000,3338000
Capital Expenditure,-,-5669000,-2671000,-4113000
Free Cash Flow,-,-4787000,10817000,-775000
