Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1114026,932933,931645,952610
Liabilities,,,,
Total Liabilities,15057,2162,1729,2601
Stockholders' Equity,,,,
Common Stock,873804,873804,873804,873804
Retained Earnings,218272,56967,38617,64914
Total stockholders' equity,1098969,930771,929916,950009
Total liabilities and stockholders' equity,1114026,932933,931645,952610
