Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,717207000,733644000,634346000,654989000
Selling General and Administrative,429788000,439479000,360674000,362497000
Total Operating Expenses,523734000,539809000,435012000,445242000
Interest Expense,50093000,47965000,31432000,28422000
Income Before Tax,200509000,238606000,215836000,228210000
Income Tax Expense,57394000,57303000,-21000000,65907000
Income from Continuing Operations,143115000,181303000,236836000,162303000
Net Income,140292000,175162000,236251000,161485000
Net Income available to common shareholders,140292000,175162000,236251000,161485000
Basic EPS,-,75.63,100.51,66.89
Diluted EPS,-,75.63,100.51,66.89
Basic Average Shares,-,2315804,2315491,2320770
Diluted Average Shares,-,2315804,2315491,2320770
