Breakdown,ttm,12/31/2019,12/31/2018
Net Income,122328,122328,70146
Change in working capital,17747,17747,-6293
Other working capital,131520,131520,67138
Other non-cash items,-,-,3895
Net cash provided by operating activites,131520,131520,67138
Purchases of investments,-508506,-508506,-658788
Sales/Maturities of investments,408211,408211,221801
Net cash used for investing activites,-100295,-100295,-436987
Net change in cash,-66922,-66922,12788
Cash at beginning of period,363572,363572,350822
Cash at end of period,296638,296638,363572
Operating Cash Flow,131520,131520,67138
Free Cash Flow,131520,131520,67138
