Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,1265222,1033951,1046012,821272
Liabilities,,,,
Total Liabilities,1122714,923128,943492,726681
Stockholders' Equity,,,,
Common Stock,78,66,66,66
Retained Earnings,59744,50412,43139,35756
Accumulated other comprehensive income,-569,584,62,-63
Total stockholders' equity,142508,110823,102520,94591
Total liabilities and stockholders' equity,1265222,1033951,1046012,821272
