Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-368.739,-368.739,-373.56,-363.485,-328.274
Net cash used for investing activites,-368.739,-368.739,-373.56,-363.485,-328.274
Common stock issued,13541,13541,2958,4000,4427
Common stock repurchased,-665.545,-665.545,-75.712,-216.69,-369.766
Net cash used privided by (used for) financing activities,12875,12875,2882,3783,4057
Net change in cash,8326,8326,-2136,-135.555,407.704
Cash at beginning of period,2910,2910,5046,5182,4774
Cash at end of period,11236,11236,2910,5046,5182
Capital Expenditure,-368.739,-368.739,-373.56,-363.485,-328.274
Free Cash Flow,-4549,-4549,-5018,-3919,-3649
