Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,7954937,3208550,2945583,1408507
Liabilities,,,,
Total Liabilities,6764140,2677912,2456654,1169419
Stockholders' Equity,,,,
Common Stock,549,243,241,152
Retained Earnings,147911,83968,44627,29290
Accumulated other comprehensive income,19061,-2930,-1280,-1248
Total stockholders' equity,1190797,530638,488929,239088
Total liabilities and stockholders' equity,7954937,3208550,2945583,1408507
