Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,1428971,1393273,925490
Liabilities,,,
Total Liabilities,25235,13251,2916
Stockholders' Equity,,,
Common Stock,13739,13739,9143
Total stockholders' equity,1403736,1380022,922574
Total liabilities and stockholders' equity,1428971,1393273,925490
