Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-23.257,-,-557.672,-2.013
Acquisitions net,-,-1239,-,-1041,-
Sales/Maturities of investments,-,-,112.5,-,5
Other investing activites,-,-7.244,-,-,-500
Net cash used for investing activites,-,-1269,187.5,-1598,-497.013
Debt repayment,-,-9.373,-872.015,-,-
Common stock issued,2350,3250,4927,6800,734.034
Common stock repurchased,-213.829,-260.733,-473.075,-387.275,-
Net cash used privided by (used for) financing activities,2550,3295,5276,8045,734.034
Net change in cash,1092,-288.981,-700.2,1051,-402.527
Cash at beginning of period,384.488,351.083,1051,0.1,712.951
Cash at end of period,1477,11.691,351.083,1051,310.424
Capital Expenditure,-,-23.257,-,-557.672,-2.013
Free Cash Flow,-1450,-2338,-6164,-5954,-641.561
