Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2635,-3084,-1222,-,-0.545
Sales/Maturities of investments,-,-,-,-,14.25
Net cash used for investing activites,-2635,-3084,-1222,-,13.705
Common stock issued,5540,1530,4850,1018,755.555
Common stock repurchased,-,-67.848,-331.956,-32,-
Net cash used privided by (used for) financing activities,5247,1462,4518,985.65,755.555
Net change in cash,2142,-1973,2183,230.443,-314.324
Cash at beginning of period,2222,3804,1621,1391,1705
Cash at end of period,4364,1831,3804,1621,1391
Capital Expenditure,-2635,-3084,-1222,-,-0.545
Free Cash Flow,-3105,-3435,-2335,-755.207,-1084
