Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,38463,38463,39545,28213,25791
Operating Income or Loss,-,-,-,-,7607
Interest Expense,13535,13535,9928,6087,4177
Income Before Tax,11098,11098,9187,7728,7607
Income Tax Expense,1683,1683,1855,2571,2013
Income from Continuing Operations,9415,9415,7332,5158,5594
Net Income,9415,9415,7332,5158,5594
Net Income available to common shareholders,9415,9415,7332,5158,5594
Basic EPS,-,-,1.66,1.18,1.28
Diluted EPS,-,-,1.64,1.16,1.27
Basic Average Shares,-,-,4410,4372,4364
Diluted Average Shares,-,-,4483,4441,4420
