Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4762,-4762,-1815,-1897,-3942
Acquisitions net,-,-,-,-,-8522
Purchases of investments,-3000,-3000,-,-,-
Other investing activites,-1529,-1529,-,-,-
Net cash used for investing activites,-10449,-10449,28448,-1390,5924
Debt repayment,-63500,-63500,-81000,-80650,-55709
Common stock issued,-,-,-,-,4050
Common stock repurchased,-10,-10,-25605,-25855,-10039
Dividends Paid,-7048,-7048,-7229,-7522,-6944
Other financing activites,-,-,-681,-969,-
Net cash used privided by (used for) financing activities,-7576,-7576,-33467,-32592,-25859
Net change in cash,1753,1753,1873,-9776,4991
Cash at beginning of period,8607,8607,6584,16490,11283
Cash at end of period,10472,10472,8607,6584,16490
Capital Expenditure,-4762,-4762,-1815,-1897,-3942
Free Cash Flow,15016,15016,5077,22309,20984
