Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,39217000,39157000,40374000,41332000
Selling General and Administrative,22583000,22792000,22624000,23406000
Total Operating Expenses,33964000,34428000,34869000,36418000
Interest Expense,837000,909000,1047000,1466000
Income Before Tax,3664000,4592000,5250000,6744000
Income Tax Expense,1010000,1373000,957000,1784000
Income from Continuing Operations,2654000,3219000,4293000,4960000
Net Income,2652000,3218000,4292000,4959000
Net Income available to common shareholders,2652000,3218000,4292000,4959000
Basic EPS,-,158.53,210.68,243.90
Diluted EPS,-,158.37,210.15,243.40
Basic Average Shares,-,20303,20374,20331
Diluted Average Shares,-,20320,20424,20374
