Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,92022,92022,67151,52771,49548
Interest Expense,23799,23799,16089,9652,6932
Income Before Tax,29266,29266,10822,6136,13590
Income Tax Expense,6844,6844,1167,4635,4493
Income from Continuing Operations,22422,22422,9655,1501,9097
Net Income,22422,22422,9655,1501,9097
Net Income available to common shareholders,22422,22422,9655,1501,9097
Basic EPS,-,-,0.73,0.13,0.98
Diluted EPS,-,-,0.67,0.12,0.81
Basic Average Shares,-,-,13278,11281,9328
Diluted Average Shares,-,-,14480,12804,11212
