Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-396.139,-385.045,-4566,-257.815,-57.597
Net cash used for investing activites,-396.139,-385.045,-4410,-257.815,-57.597
Common stock issued,-,-,4014,4234,-
Common stock repurchased,-,-,-19.05,-114.475,-
Net cash used privided by (used for) financing activities,-,150,3995,4119,-
Net change in cash,2599,-1008,-1145,1963,-446.099
Cash at beginning of period,231.494,1081,2226,262.985,709.082
Cash at end of period,2830,72.846,1081,2226,262.985
Capital Expenditure,-396.139,-385.045,-4566,-257.815,-57.597
Free Cash Flow,-1565,-1158,-5295,-2156,-446.099
