Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,-206334,-117149,71207,-125313
Depreciation & amortization,-,36452,54614,47530
Change in working capital,-,-33188,-51325,97749
Inventory,-,-74035,-50898,54526
Other working capital,-,-175314,-36607,-88925
Other non-cash items,-,1132,962,-4218
Net cash provided by operating activites,-,-127674,7218,53926
Investments in property plant and equipment,-,-47640,-43825,-142851
Sales/Maturities of investments,-,14715,141480,-
Other investing activites,-,-7844,-5079,203818
Net cash used for investing activites,-,-40769,92637,205953
Net change in cash,-,-188262,75836,239515
Cash at beginning of period,-,1325222,1249385,1009869
Cash at end of period,-,1136959,1325222,1249385
Operating Cash Flow,-,-127674,7218,53926
Capital Expenditure,-,-47640,-43825,-142851
Free Cash Flow,-,-175314,-36607,-88925
