Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,650438,920090,749887,1101047
Depreciation & amortization,-,1086317,799847,604988
Change in working capital,-,-146700,-1916542,231913
Inventory,-,-671966,-108177,41125
Other working capital,-,181807,-4181704,645424
Other non-cash items,-,-91663,127617,10927
Net cash provided by operating activites,-,1641098,-518175,2260815
Investments in property plant and equipment,-,-1459291,-3663529,-1615391
Purchases of investments,-,-10612,-8864,-9064
Sales/Maturities of investments,-,-,4390,15981
Other investing activites,-,86686,-8600,-16987
Net cash used for investing activites,-,-1064136,-3618367,-1603205
Net change in cash,-,-11431,-161848,170871
Cash at beginning of period,-,1455937,1617786,1446914
Cash at end of period,-,1444506,1455937,1617786
Operating Cash Flow,-,1641098,-518175,2260815
Capital Expenditure,-,-1459291,-3663529,-1615391
Free Cash Flow,-,181807,-4181704,645424
