Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,37391,35787,36494,40844,48478
Interest Expense,2914,2816,3220,3059,4488
Income Before Tax,36544,34993,33000,37344,44887
Income Tax Expense,1873,663,1555,3666,4169
Income from Continuing Operations,34671,34330,31445,33678,40718
Net Income,34671,34330,31445,33678,40718
Net Income available to common shareholders,34671,34330,31445,33678,40718
Basic EPS,-,0.15,0.14,0.15,0.19
Diluted EPS,-,0.15,0.14,0.15,0.19
Basic Average Shares,-,221974,220295,218860,218590
Diluted Average Shares,-,221974,220295,218860,218590
