Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,9340018,9449547,9192916,9267247
Liabilities,,,,
Total Liabilities,8003692,8057925,7824603,7874283
Stockholders' Equity,,,,
Common Stock,1414,1412,1382,1375
Retained Earnings,174277,214569,234640,268466
Accumulated other comprehensive income,-14899,4340,2918,5915
Total stockholders' equity,1336326,1391622,1368313,1392964
Total liabilities and stockholders' equity,9340018,9449547,9192916,9267247
