Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-407.299,-173.76
Purchases of investments,-,-16.811
Other investing activites,-,-16.811
Net cash used for investing activites,-424.11,-190.571
Common stock issued,-,4535
Common stock repurchased,-,-429.879
Net cash used privided by (used for) financing activities,-,4105
Net change in cash,-886.411,3487
Cash at beginning of period,4290,379.483
Cash at end of period,3404,3866
Capital Expenditure,-407.299,-173.76
Free Cash Flow,-793.947,-601.32
