Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,37006,37006,35862,33609,34553
Interest Expense,3339,3339,2233,1797,1593
Income Before Tax,11117,11117,11124,8806,10472
Income Tax Expense,3324,3324,2888,4402,4122
Income from Continuing Operations,7793,7793,8236,4404,6350
Net Income,7793,7793,8236,4404,6350
Net Income available to common shareholders,7793,7793,8236,4404,6350
Basic EPS,-,-,1.89,1.04,1.52
Diluted EPS,-,-,1.72,0.90,1.34
Basic Average Shares,-,-,4358,4235,4178
Diluted Average Shares,-,-,4788,4893,4739
