Breakdown,ttm,12/31/2019
Total Revenue,0,0
Total Operating Expenses,764.976,764.976
Operating Income or Loss,-764.976,-764.976
Income Before Tax,1828,1828
Income Tax Expense,502.488,502.488
Income from Continuing Operations,1326,1326
Net Income,1326,1326
Net Income available to common shareholders,1326,1326
