Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1586262,1177833,1079274,1038213
Liabilities,,,,
Total Liabilities,1415684,1050748,967621,933412
Stockholders' Equity,,,,
Common Stock,109964,79536,72935,71695
Retained Earnings,60791,49750,39822,34074
Accumulated other comprehensive income,191,-1833,-736,-600
Total stockholders' equity,170578,127085,111653,104801
Total liabilities and stockholders' equity,1586262,1177833,1079274,1038213
