Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-254117,208679,202689,136930
Depreciation & amortization,-,23384,17379,14653
Change in working capital,-,-60304,16162,111301
Other working capital,-,124821,230539,268180
Other non-cash items,-,-5820,-1129,2481
Net cash provided by operating activites,-,181410,247876,283152
Investments in property plant and equipment,-,-56589,-17337,-14972
Acquisitions net,-,-99000,-,-
Other investing activites,-,-56201,-40330,-14069
Net cash used for investing activites,-,-211790,-57667,-29041
Net change in cash,-,575971,190209,254110
Cash at beginning of period,-,647079,456869,202759
Cash at end of period,-,1223050,647079,456869
Operating Cash Flow,-,181410,247876,283152
Capital Expenditure,-,-56589,-17337,-14972
Free Cash Flow,-,124821,230539,268180
