Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,481441,617275,820682,825119
Liabilities,,,,
Total Liabilities,204802,291887,472724,463371
Stockholders' Equity,,,,
Common Stock,310809,335661,351357,353293
Retained Earnings,-34495,-15153,-7876,-6145
Accumulated other comprehensive income,325.304,4880,4477,14600
Total stockholders' equity,276639,325388,347958,361748
Total liabilities and stockholders' equity,481441,617275,820682,825119
