Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9407000,10066000,8930000,12698000
Depreciation & amortization,-,285000,279000,281000
Change in working capital,-,4394000,2095000,3877000
Inventory,-,2272000,351000,-2430000
Other working capital,-,13579000,10865000,11375000
Other non-cash items,-,531000,-149000,422000
Net cash provided by operating activites,-,13668000,10891000,11413000
Investments in property plant and equipment,-,-89000,-26000,-38000
Acquisitions net,-,-154000,-,-
Purchases of investments,-,-3000,-6000,-3000
Sales/Maturities of investments,-,30000,-,-
Other investing activites,-,13000,-1000,-1000
Net cash used for investing activites,-,297000,-33000,-40000
Net change in cash,-,9036000,6762000,6009000
Cash at beginning of period,-,41811000,35048000,29039000
Cash at end of period,-,50848000,41811000,35048000
Operating Cash Flow,-,13668000,10891000,11413000
Capital Expenditure,-,-89000,-26000,-38000
Free Cash Flow,-,13579000,10865000,11375000
