Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-45584,-41944,-132498,-177925
Depreciation & amortization,-,254329,262320,280560
Change in working capital,-,20298,-551,-213353
Inventory,-,16330,21003,3556
Other working capital,-,-24681,-129341,-171740
Other non-cash items,-,-16195,113770,126702
Net cash provided by operating activites,-,191331,239423,-33111
Investments in property plant and equipment,-,-216012,-368764,-138629
Purchases of investments,-,-330421,-,-
Sales/Maturities of investments,-,318402,-,-
Other investing activites,-,76695,117904,33709
Net cash used for investing activites,-,-151336,-250860,-104920
Net change in cash,-,-83542,106320,-403025
Cash at beginning of period,-,965654,859333,1262359
Cash at end of period,-,882111,965654,859333
Operating Cash Flow,-,191331,239423,-33111
Capital Expenditure,-,-216012,-368764,-138629
Free Cash Flow,-,-24681,-129341,-171740
