Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4542,-4542,-1998,-676,-160
Acquisitions net,-2674,-2674,62,-,-
Purchases of investments,-21311,-21311,-3772,-15814,296
Sales/Maturities of investments,-,-,8039,5410,1709
Other investing activites,103153,103153,-1936,459,1680
Net cash used for investing activites,78491,78491,2331,-10621,4380
Debt repayment,-68882,-68882,-1300,-,-4200
Common stock issued,-,-,-,10512,-
Common stock repurchased,-85,-85,-,-4761,-1611
Dividends Paid,-8118,-8118,-8244,-5232,-5591
Net cash used privided by (used for) financing activities,-77085,-77085,-9544,7401,-11402
Net change in cash,8636,8636,-607,-455,1838
Cash at beginning of period,1083,1083,1690,2154,316
Cash at end of period,9719,9719,1083,1690,2154
Capital Expenditure,-4542,-4542,-1998,-676,-160
Free Cash Flow,2688,2688,4608,2089,8700
