Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2453,-3229,-2671,-337.887,-29.997
Acquisitions net,-,-,-,-721.848,-
Purchases of investments,-,-15,-110,-1641,-82.044
Sales/Maturities of investments,-,-,-,261.095,-
Other investing activites,-,-2158,-89.381,-332.02,461.99
Net cash used for investing activites,-4626,-5402,-2870,-2771,5782
Debt repayment,-1756,-2104,-1334,-1047,-892.865
Common stock issued,3811,5065,1443,275,-
Other financing activites,-,-,-,-160,-
Net cash used privided by (used for) financing activities,2637,3462,3658,1735,-720.085
Net change in cash,-1509,-586.241,702.116,-1703,3752
Cash at beginning of period,5148,2959,2180,3837,84.587
Cash at end of period,3639,2490,2959,2180,3837
Capital Expenditure,-2453,-3229,-2671,-337.887,-29.997
Free Cash Flow,-1973,-1875,-2757,-1004,-1340
