Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,972319,982755,970977,941120
Liabilities,,,,
Total Liabilities,160602,167291,166797,164661
Stockholders' Equity,,,,
Common Stock,20146,20146,20146,20146
Retained Earnings,365947,353514,343354,336252
Accumulated other comprehensive income,425624,441804,440680,420061
Total stockholders' equity,811717,815464,804180,776459
Total liabilities and stockholders' equity,972319,982755,970977,941120
